Name,Rating,Number of Reviews,Type of Cuisine,Budget Range,Suitable Occasions,Average Waiting Time (min),Budget Range Dishes,Location
Joe's Diner,4.2,235,American,$10 - $20,"Casual, Breakfast",35,"{'Pancakes': 7.0, 'Burgers': 9.5, 'Salads': 8.0}","40.7128, -74.0060"
Sushi Zen,3.8,411,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Sushi Rolls': 16.5, 'Sashimi': 13.5, 'Tempura': 11.5}","34.0522, -118.2437"
Mama's Kitchen,4.4,129,Italian,$15 - $25,"Family, Group Gatherings",40,"{'Pizza': 9.5, 'Pasta': 12.0, 'Gelato': 7.5}","51.5074, -0.1278"
Curry Palace,4.6,305,Indian,$15 - $30,"Dinner, Takeout",45,"{'Butter Chicken': 8.0, 'Naan': 10.0, 'Biryani': 13.0}","28.6139, 77.2090"
Bistro Francais,4,498,French,$30 - $50,"Fine Dining, Celebrations",60,"{'Escargot': 19.5, 'Coq au Vin': 24.0, 'Crepes': 23.0}","48.8566, 2.3522"
Spice Delight,4.8,187,Thai,$15 - $25,"Lunch, Dinner",55,"{'Pad Thai': 9.0, 'Green Curry': 7.5, 'Tom Yum Soup': 11.0}","13.7563, 100.5018"
La Cantina,3.5,315,Mexican,$10 - $20,"Casual, Friends' Outing",40,"{'Tacos': 6.0, 'Enchiladas': 8.5, 'Guacamole': 10.0}","19.4326, -99.1332"
Tokyo Fusion,3.7,269,Fusion,$25 - $40,"Date Night, Special Occasions",50,"{'Sushi Burritos': 20.0, 'Ramen Burger': 16.5, 'Tempura Tacos': 19.5}","35.6895, 139.6917"
Bella Trattoria,3.4,572,Italian,$20 - $40,"Romantic Dinners, Family",45,"{'Risotto': 10.0, 'Osso Buco': 16.0, 'Tiramisu': 17.0}","41.9028, 12.4964"
Greek Taverna,3.1,198,Greek,$15 - $30,"Group Gatherings, Lunch",40,"{'Gyro Platter': 13.5, 'Moussaka': 14.0, 'Baklava': 14.5}","37.9838, 23.7275"
Tandoori Nights,4.4,257,Indian,$15 - $30,"Dinner, Takeout",45,"{'Tandoori Chicken': 7.5, 'Samosas': 14.0, 'Paneer Tikka': 14.0}","12.9716, 77.5946"
BBQ Haven,4.2,392,American,$20 - $40,"Family, Friends' Outing",50,"{'Ribs': 11.0, 'Pulled Pork Sandwich': 14.0, 'Cornbread': 13.0}","32.7767, -96.7970"
Noodle House,4.3,189,Asian,$10 - $20,"Casual, Lunch",35,"{'Pad See Ew': 5.0, 'Pho': 9.0, 'Spring Rolls': 10.0}","22.3964, 114.1095"
Le Petit Cafe,4.4,421,French,$30 - $50,"Fine Dining, Celebrations",60,"{'Croissant': 18.5, 'Beef Bourguignon': 18.5, 'Macarons': 17.0}","48.8566, 2.3522"
Casa de Tapas,4,298,Spanish,$25 - $40,"Date Night, Group Gatherings",50,"{'Paella': 13.5, 'Patatas Bravas': 19.0, 'Churros': 13.5}","40.4168, -3.7038"
Thai Orchid,4.1,229,Thai,$15 - $30,"Dinner, Special Occasions",45,"{'Green Curry': 8.5, 'Tom Kha Gai': 11.0, 'Mango Sticky Rice': 10.5}","13.7563, 100.5018"
Sabor Mexicano,4.7,356,Mexican,$15 - $25,"Casual, Friends' Outing",40,"{'Quesadillas': 7.5, 'Tamales': 8.0, 'Chiles Rellenos': 10.0}","19.4326, -99.1332"
Fusion Flavors,4.9,272,Fusion,$20 - $40,"Date Night, Family",50,"{'Sushi Tacos': 17.0, 'Curry Pizza': 16.5, 'Teriyaki Burger': 12.0}","35.6895, 139.6917"
Bella Vita,3.5,587,Italian,$30 - $50,"Romantic Dinners, Fine Dining",45,"{'Gnocchi': 18.5, 'Filet Mignon': 18.0, 'Cannoli': 19.5}","41.9028, 12.4964"
Mediterranean Breeze,3.4,208,Greek,$15 - $30,"Lunch, Group Gatherings",40,"{'Gyro Wrap': 12.0, 'Greek Salad': 14.0, 'Spanakopita': 12.5}","37.9838, 23.7275"
Osaka Ramen,3.6,412,Japanese,$20 - $40,"Casual, Dinner",50,"{'Ramen Bowls': 11.5, 'Gyoza': 19.5, 'Matcha Ice Cream': 13.5}","34.0522, -118.2437"
Trattoria Amore,4.5,498,Italian,$30 - $50,"Date Night, Special Occasions",55,"{'Lasagna': 18.0, 'Seafood Linguine': 22.5, 'Tiramisu': 18.0}","41.9028, 12.4964"
Beijing Bites,4.2,187,Chinese,$10 - $20,"Casual, Lunch",40,"{'Kung Pao Chicken': 6.0, 'Dim Sum': 9.5, 'Fried Rice': 8.5}","39.9042, 116.4074"
Seafood Harbor,3.8,315,Seafood,$25 - $40,"Family, Friends' Outing",45,"{'Crab Legs': 12.5, 'Shrimp Scampi': 18.5, 'Clam Chowder': 13.5}","34.0522, -118.2437"
Gourmet Grind,5,269,American,$15 - $30,"Breakfast, Brunch",35,"{'Eggs Benedict': 9.5, 'Avocado Toast': 8.0, 'Coffee': 8.5}","40.7128, -74.0060"
Sakura Garden,4.4,572,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Teppanyaki': 13.0, 'Udon': 15.0, 'Green Tea Ice Cream': 18.0}","35.6895, 139.6917"
Chez Marie,3.9,198,French,$30 - $50,"Celebrations, Romantic Dinners",60,"{'Escargot': 17.5, ""Duck ? l'Orange"": 16.0, 'Creme Brulee': 21.5}","48.8566, 2.3522"
Napoli Pizzeria,4.8,235,Italian,$15 - $25,"Family, Group Gatherings",40,"{'Margherita Pizza': 8.0, 'Calzone': 7.5, 'Tiramisu': 12.5}","40.7128, -74.0060"
Curry House,4.4,411,Indian,$20 - $40,"Dinner, Special Occasions",50,"{'Chicken Tikka Masala': 16.5, 'Vegetable Biryani': 11.0}","28.6139, 77.2090"
Delightful Eats,4.2,129,American,$10 - $20,"Casual, Breakfast",35,"{'Waffles': 6.0, 'Omelettes': 9.5, 'Milkshakes': 8.5}","34.0522, -118.2437"
Pasta Paradise,4.8,498,Italian,$25 - $40,"Family, Friends' Outing",45,"{'Spaghetti Carbonara': 16.5, 'Ravioli': 14.5, 'Tiramisu': 17.5}","41.9028, 12.4964"
Zen Sushi,5,305,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Sushi Rolls': 16.0, 'Sashimi': 13.0, 'Tempura': 13.5}","34.0522, -118.2437"
Spice Route,3.5,249,Indian,$15 - $30,"Dinner, Takeout",45,"{'Masala Dosa': 13.5, 'Chicken Korma': 7.5, 'Gulab Jamun': 14.0}","12.9716, 77.5946"
Le Croissant,3.9,382,French,$20 - $40,"Breakfast, Brunch",40,"{'Croissant': 20.0, 'Quiche': 11.0, 'Macarons': 18.0}","48.8566, 2.3522"
Mexican Fiesta,4.2,219,Mexican,$15 - $30,"Casual, Friends' Outing",35,"{'Nachos': 12.0, 'Burritos': 9.0, 'Churros': 10.0}","19.4326, -99.1332"
Fusion Fusion,3.9,298,Fusion,$25 - $40,"Date Night, Special Occasions",50,"{'Sushi Burritos': 20.0, 'Kimchi Tacos': 19.0, 'Fusion Cocktails': 18.5}","35.6895, 139.6917"
Bella Luna,4.2,572,Italian,$30 - $50,"Romantic Dinners, Fine Dining",55,"{'Fettuccine Alfredo': 20.0, 'T-Bone Steak': 22.5, 'Cannoli': 20.0}","41.9028, 12.4964"
Opa Greek,3.8,208,Greek,$15 - $30,"Group Gatherings, Lunch",40,"{'Souvlaki': 12.0, 'Greek Salad': 14.5, 'Baklava': 11.0}","37.9838, 23.7275"
Ramen King,3.9,412,Japanese,$20 - $40,"Casual, Dinner",50,"{'Ramen Bowls': 14.0, 'Takoyaki': 10.5, 'Matcha Parfait': 17.5}","35.6895, 139.6917"
Trattoria Bella,4.7,498,Italian,$30 - $50,"Date Night, Special Occasions",60,"{'Bruschetta': 22.5, 'Chicken Marsala': 19.0, 'Tiramisu': 20.0}","41.9028, 12.4964"
Peking Palace,3.9,187,Chinese,$10 - $20,"Casual, Lunch",40,"{""General Tso's Chicken"": 9.5, 'Spring Rolls': 6.0, 'Fried Rice': 8.5}","39.9042, 116.4074"
Fresh Catch Seafood,4.1,315,Seafood,$25 - $40,"Family, Friends' Outing",45,"{'Lobster Tail': 17.0, 'Crab Cakes': 13.0, 'Seafood Platter': 18.0}","34.0522, -118.2437"
Sunny Side Bistro,4.3,269,American,$15 - $30,"Breakfast, Brunch",35,"{'Pancakes': 9.5, 'Omelettes': 12.0, 'Avocado Toast': 9.5}","40.7128, -74.0060"
Tokyo Delights,3.8,572,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Tempura': 13.0, 'Teppanyaki': 10.5, 'Miso Soup': 11.5}","35.6895, 139.6917"
Le Parfait,3,498,French,$30 - $50,"Celebrations, Romantic Dinners",55,"{'Foie Gras': 24.5, 'Coq au Vin': 22.0, 'Creme Brulee': 16.0}","48.8566, 2.3522"
Napoli Ristorante,4.3,235,Italian,$15 - $25,"Family, Group Gatherings",40,"{'Margherita Pizza': 11.5, 'Lasagna': 8.0, 'Tiramisu': 9.5}","40.7128, -74.0060"
Spicy Curry,4.3,411,Indian,$20 - $40,"Dinner, Takeout",50,"{'Chicken Vindaloo': 18.0, 'Aloo Gobi': 17.5, 'Mango Lassi': 15.0}","28.6139, 77.2090"
Morning Munchies,4.4,129,American,$10 - $20,"Casual, Breakfast",35,"{'Breakfast Burritos': 8.5, 'French Toast': 5.0, 'Coffee': 7.5}","34.0522, -118.2437"
Pasta Bella,4.1,498,Italian,$25 - $40,"Family, Friends' Outing",45,"{'Penne Arrabbiata': 19.5, 'Chicken Parmesan': 15.0, 'Tiramisu': 15.0}","41.9028, 12.4964"
Sushi Haven,3.2,305,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Sushi Rolls': 15.5, 'Sashimi': 10.0, 'Miso Soup': 15.0}","34.0522, -118.2437"
Spice Haven,3.6,249,Indian,$15 - $30,"Dinner, Takeout",45,"{'Chicken Curry': 15.0, 'Aloo Paratha': 15.0, 'Mango Lassi': 13.5}","12.9716, 77.5946"
Le Petit Patisserie,3.4,382,French,$20 - $40,"Breakfast, Brunch",40,"{'Croissant': 20.0, 'Pain au Chocolat': 12.0, 'Eclairs': 15.5}","48.8566, 2.3522"
Tacos y M?s,3.5,219,Mexican,$15 - $30,"Casual, Friends' Outing",35,"{'Tacos': 9.5, 'Quesadillas': 15.0, 'Margaritas': 7.5}","19.4326, -99.1332"
Global Fusion,4,298,Fusion,$25 - $40,"Date Night, Special Occasions",50,"{'Sushi Tacos': 15.5, 'Kimchi Fried Rice': 18.0, 'Fusion Cocktails': 16.0}","35.6895, 139.6917"
Buona Sera,4.2,572,Italian,$30 - $50,"Romantic Dinners, Fine Dining",55,"{'Osso Buco': 20.5, 'Lobster Ravioli': 19.0, 'Tiramisu': 16.0}","41.9028, 12.4964"
Greek Isles,3.7,208,Greek,$15 - $30,"Group Gatherings, Lunch",40,"{'Souvlaki': 11.0, 'Greek Salad': 14.0, 'Spanakopita': 13.0}","37.9838, 23.7275"
Ramen Universe,3.9,412,Japanese,$20 - $40,"Casual, Dinner",50,"{'Ramen Bowls': 12.5, 'Gyoza': 11.5, 'Matcha Parfait': 19.0}","35.6895, 139.6917"
Amore Trattoria,4,498,Italian,$30 - $50,"Date Night, Special Occasions",60,"{'Caprese Salad': 17.5, 'Risotto': 20.0, 'Tiramisu': 21.0}","41.9028, 12.4964"
Beijing Delights,4,187,Chinese,$10 - $20,"Casual, Lunch",40,"{'Sweet and Sour Chicken': 8.0, 'Dumplings': 5.0, 'Fried Rice': 6.0}","39.9042, 116.4074"
Ocean's Bounty,4.4,315,Seafood,$25 - $40,"Family, Friends' Outing",45,"{'Grilled Salmon': 15.0, 'Crab Legs': 15.0, 'Shrimp Scampi': 18.0}","34.0522, -118.2437"
Rise and Dine,3.3,269,American,$15 - $30,"Breakfast, Brunch",35,"{'Pancakes': 11.5, 'Breakfast Burritos': 13.0, 'Omelettes': 9.0}","40.7128, -74.0060"
Tokyo Nights,3.6,572,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Sashimi Platter': 19.0, 'Tempura': 13.5, 'Matcha Ice Cream': 10.0}","35.6895, 139.6917"
Belle Cuisine,4.8,498,French,$30 - $50,"Celebrations, Romantic Dinners",55,"{'Escargot': 23.0, 'Duck Confit': 15.0, 'Creme Brulee': 21.5}","48.8566, 2.3522"
Napoli Trattoria,4.7,235,Italian,$15 - $25,"Family, Group Gatherings",40,"{'Margherita Pizza': 12.0, 'Lasagna': 10.5, 'Cannoli': 7.5}","40.7128, -74.0060"
Curry Delights,4,411,Indian,$20 - $40,"Dinner, Takeout",50,"{'Chicken Curry': 11.0, 'Naan': 19.0, 'Mango Lassi': 18.5}","28.6139, 77.2090"
Sunrise Cafe,4.4,129,American,$10 - $20,"Casual, Breakfast",35,"{'Waffles': 5.0, 'Breakfast Sandwiches': 7.5, 'Coffee': 9.5}","34.0522, -118.2437"
Pizzeria Paradiso,3.8,498,Italian,$25 - $40,"Family, Friends' Outing",45,"{'Margherita Pizza': 20.0, 'Calzone': 17.5, 'Cannoli': 19.0}","41.9028, 12.4964"
Sushi Oasis,4.4,305,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Sushi Rolls': 15.0, 'Sashimi': 13.0, 'Miso Soup': 15.5}","34.0522, -118.2437"
Spice Delicacies,3.9,249,Indian,$15 - $30,"Dinner, Takeout",45,"{'Biryani': 14.5, 'Paneer Tikka': 15.0, 'Masala Chai': 8.0}","12.9716, 77.5946"
Petite Boulangerie,3.9,382,French,$20 - $40,"Breakfast, Brunch",40,"{'Croissant': 11.0, 'Pain aux Raisins': 14.5, 'Quiche': 18.5}","48.8566, 2.3522"
Tasty Tacos,3.7,219,Mexican,$15 - $30,"Casual, Friends' Outing",35,"{'Tacos': 9.0, 'Burritos': 9.0, 'Margaritas': 8.5}","19.4326, -99.1332"
Fusion Frenzy,4,298,Fusion,$25 - $40,"Date Night, Special Occasions",50,"{'Sushi Burritos': 14.5, 'Kimchi Fried Rice': 13.5, 'Craft Cocktails': 13.5}","35.6895, 139.6917"
La Dolce Vita,3.2,572,Italian,$30 - $50,"Romantic Dinners, Fine Dining",55,"{'Linguine Carbonara': 21.0, 'Tiramisu': 23.0, 'Espresso': 17.5}","41.9028, 12.4964"
Greek Euphoria,3.3,208,Greek,$15 - $30,"Group Gatherings, Lunch",40,"{'Gyro Platter': 9.0, 'Greek Salad': 14.5, 'Baklava': 12.0}","37.9838, 23.7275"
